onset	duration	trial_type	value	sample	frequency	opacity	color
30.0	120.0	rest_eyes_open	3	60000			
160.0	120.0	rest_eyes_closed	2	320000			
423.0	1.0	cue	1	846000			
424.0	5.0	stim_10Hz_trans50_white	7	848000	10	0.5	white
438.0	1.0	cue	1	876000			
439.0	5.0	stim_15Hz_trans50_green	14	878000	15	0.5	green
453.0	1.0	cue	1	906000			
454.0	5.0	stim_12Hz_trans50_white	11	908000	12	0.5	white
468.0	1.0	cue	1	936000			
469.0	5.0	stim_15Hz_trans50_green	14	938000	15	0.5	green
483.0	1.0	cue	1	966000			
484.0	5.0	stim_12Hz_trans0_white	9	968000	12	0	white
498.0	1.0	cue	1	996000			
499.0	5.0	stim_15Hz_trans0_white	13	998000	15	0	white
513.0	1.0	cue	1	1026000			
514.0	5.0	stim_12Hz_trans50_green	10	1028000	12	0.5	green
528.0	1.0	cue	1	1056000			
529.0	5.0	stim_15Hz_trans50_white	15	1058000	15	0.5	white
543.0	1.0	cue	1	1086000			
544.0	5.0	stim_15Hz_trans0_green	12	1088000	15	0	green
558.0	1.0	cue	1	1116000			
559.0	5.0	stim_12Hz_trans50_green	10	1118000	12	0.5	green
633.0	1.0	cue	1	1266000			
634.0	5.0	stim_15Hz_trans0_green	12	1268000	15	0	green
648.0	1.0	cue	1	1296000			
649.0	5.0	stim_10Hz_trans0_white	5	1298000	10	0	white
663.0	1.0	cue	1	1326000			
664.0	5.0	stim_12Hz_trans50_green	10	1328000	12	0.5	green
678.0	1.0	cue	1	1356000			
679.0	5.0	stim_15Hz_trans0_green	12	1358000	15	0	green
693.0	1.0	cue	1	1386000			
694.0	5.0	stim_12Hz_trans50_white	11	1388000	12	0.5	white
708.0	1.0	cue	1	1416000			
709.0	5.0	stim_10Hz_trans0_green	4	1418000	10	0	green
723.0	1.0	cue	1	1446000			
724.0	5.0	stim_10Hz_trans50_green	6	1448000	10	0.5	green
738.0	1.0	cue	1	1476000			
739.0	5.0	stim_15Hz_trans0_green	12	1478000	15	0	green
753.0	1.0	cue	1	1506000			
754.0	5.0	stim_10Hz_trans50_white	7	1508000	10	0.5	white
768.0	1.0	cue	1	1536000			
769.0	5.0	stim_12Hz_trans0_white	9	1538000	12	0	white
843.0	1.0	cue	1	1686000			
844.0	5.0	stim_12Hz_trans0_green	8	1688000	12	0	green
858.0	1.0	cue	1	1716000			
859.0	5.0	stim_15Hz_trans50_white	15	1718000	15	0.5	white
873.0	1.0	cue	1	1746000			
874.0	5.0	stim_15Hz_trans50_green	14	1748000	15	0.5	green
888.0	1.0	cue	1	1776000			
889.0	5.0	stim_15Hz_trans50_white	15	1778000	15	0.5	white
903.0	1.0	cue	1	1806000			
904.0	5.0	stim_12Hz_trans0_green	8	1808000	12	0	green
918.0	1.0	cue	1	1836000			
919.0	5.0	stim_10Hz_trans0_white	5	1838000	10	0	white
933.0	1.0	cue	1	1866000			
934.0	5.0	stim_10Hz_trans0_white	5	1868000	10	0	white
948.0	1.0	cue	1	1896000			
949.0	5.0	stim_15Hz_trans0_white	13	1898000	15	0	white
963.0	1.0	cue	1	1926000			
964.0	5.0	stim_10Hz_trans0_green	4	1928000	10	0	green
978.0	1.0	cue	1	1956000			
979.0	5.0	stim_12Hz_trans0_white	9	1958000	12	0	white
1053.0	1.0	cue	1	2106000			
1054.0	5.0	stim_12Hz_trans50_white	11	2108000	12	0.5	white
1068.0	1.0	cue	1	2136000			
1069.0	5.0	stim_12Hz_trans0_white	9	2138000	12	0	white
1083.0	1.0	cue	1	2166000			
1084.0	5.0	stim_10Hz_trans50_green	6	2168000	10	0.5	green
1098.0	1.0	cue	1	2196000			
1099.0	5.0	stim_10Hz_trans50_white	7	2198000	10	0.5	white
1113.0	1.0	cue	1	2226000			
1114.0	5.0	stim_10Hz_trans0_white	5	2228000	10	0	white
1128.0	1.0	cue	1	2256000			
1129.0	5.0	stim_10Hz_trans0_white	5	2258000	10	0	white
1143.0	1.0	cue	1	2286000			
1144.0	5.0	stim_15Hz_trans50_green	14	2288000	15	0.5	green
